"","position","left","keyword","right"
"1","1224","sea ibid the","mighty","whales which swim"
"2","3523","boat suddenly a","mighty","mass emerged from"
"3","6998","nevertheless is a","mighty","pleasant zephyr to"
"4","15160","laugh is a","mighty","good thing and"
"5","19000","strands in the","mighty","cable of the"
"6","20630","rush of the","mighty","whale which even"
"7","22839","struck me as","mighty","singular yet upon"
"8","31757","s census a","mighty","pageant creature formed"
"9","33006","might have a","mighty","deal to say"
"10","44563","the high and","mighty","business of whaling"
"11","44982","of that now","mighty","colony moreover in"
"12","45162","leviathan who but","mighty","job and who"
"13","45358","one of the","mighty","triumphs given to"
"14","46711","an enraged and","mighty","man but were"
"15","47103","in all thy","mighty","earthly marchings ever"
"16","49937","dignity of some","mighty","woe ere long"
"17","51928","there s a","mighty","difference between a"
"18","56868","leech till the","mighty","brute is worried"
"19","60217","the high and","mighty","cabin in strange"
"20","64728","a parmacetty and","mighty","quick captain ahab"
"21","70233","with many a","mighty","birth no wonder"
"22","74837","fearless as this","mighty","steed whether marching"
"23","104318","preserve all his","mighty","swells and undulations"
"24","111240","assault yes a","mighty","change had come"
"25","121284","with mosses speak","mighty","head and tell"
"26","129811","thinking how this","mighty","monster is actually"
"27","134265","is of so","mighty","a magnitude all"
"28","134559","this high and","mighty","god like dignity"
"29","135227","things that are","mighty","wears a false"
"30","137376","men in a","mighty","rage that was"
"31","139221","off from some","mighty","fountain and with"
"32","145031","conceit of the","mighty","misty monster to"
"33","146860","i consider this","mighty","tail the more"
"34","166574","valley between three","mighty","heaven abiding peaks"
"35","173797","around him the","mighty","idler seemed the"
"36","174816","length was the","mighty","circular basket of"
"37","175401","whale from his","mighty","bulk the whale"
"38","175802","to produce a","mighty","book you must"
"39","175808","must choose a","mighty","theme no great"
"40","176275","stand among these","mighty","leviathan skeletons skulls"
"41","190877","thou high and","mighty","pilot thou tellest"
"42","194481","what s the","mighty","difference between holding"
"43","196249","slow billows of","mighty","bulk and striving"
"44","205095","bottomless blue rushed","mighty","leviathans sword fish"
"45","207629","gentle joyousness a","mighty","mildness of repose"
"46","210629","and as the","mighty","iron leviathan of"
"47","216875","simultaneously with a","mighty","volition of ungraduated"
